id,category,name,total_ingredients,base_energy,max_energy_lv70,ing1,qty1,ing2,qty2,ing3,qty3,ing4,qty4
c1,curry,しんりょくアボカドグラタン,115,24802,88791,milk,41,potato,20,oil,32,avocado,22
c2,curry,いあいぎりすき焼きカレー,101,20655,73945,sausage,26,leek,27,egg,22,honey,26
c3,curry,めざめるパワーシチュー,92,19061,68238,soy,28,tomato,25,mushroom,23,coffee,16
c4,curry,なりきりバケッチャシチュー,69,15621,55923,sausage,16,potato,18,mushroom,25,pumpkin,10
c5,curry,れんごくコーンキーマカレー,77,13690,49010,sausage,24,herb,27,ginger,12,corn,14
c6,curry,ニンジャカレー,50,9445,33813,soy,24,sausage,9,leek,12,mushroom,5
c7,curry,ぜったいねむりバターカレー,55,9010,32256,cacao,12,milk,10,potato,18,tomato,15
c8,curry,あぶりテールカレー,33,7483,26789,herb,25,tail,8,,
c9,curry,からくちネギもりカレー,32,5900,21122,leek,14,herb,8,ginger,10,
c10,curry,ピヨピヨパンチ辛口カレー,33,5702,20413,herb,11,honey,11,coffee,11,
c11,curry,じゅうなんコーンシチュー,30,4670,16719,milk,8,potato,8,corn,14,
c12,curry,おやこあいカレー,35,4523,16192,potato,4,apple,11,egg,8,honey,12
c13,curry,キノコのほうしカレー,23,4162,14900,potato,9,mushroom,14,,
c14,curry,ビルドアップマメカレー,26,3372,12072,soy,12,sausage,6,egg,4,herb,4
c15,curry,ほっこりホワイトシチュー,22,3181,11388,milk,10,potato,8,mushroom,4,
c16,curry,とけるオムカレー,16,2150,7697,egg,10,tomato,6,,
c17,curry,サンパワートマトカレー,15,2078,7439,herb,5,tomato,10,,
c18,curry,ひでりカツレツカレー,15,1942,6952,sausage,10,oil,5,,
c19,curry,満腹チーズバーグカレー,16,1910,6838,milk,8,sausage,8,,
c20,curry,マメバーグカレー,7,856,3064,sausage,7,,,,,,
c21,curry,ベイビィハニーカレー,7,839,3004,honey,7,,,,,,
c22,curry,たんじゅんホワイトシチュー,7,814,2914,milk,7,,,,,,
c23,curry,とくせんリンゴカレー,7,748,2678,apple,7,,,,,,
c24,curry,とびはねるカレーうどん,112,25539,91430,ginger,39,mushroom,31,herb,22,sausage,20
c25,curry,ワカクサカレーパン,63,10945,39183,ginger,20,herb,20,soy,8,oil,15
s1,salad,ごろごろねっとうサラダ,95,25356,90774,potato,30,mushroom,27,corn,18,pumpkin,20
s2,salad,じならしワカモレチップス,105,25162,90080,soy,22,herb,30,corn,25,avocado,28
s3,salad,まけんきコーヒーサラダ,100,20218,72380,sausage,28,potato,22,oil,22,coffee,28
s4,salad,りんごさんヨーグルトサラダ,104,19293,69069,milk,18,apple,28,egg,35,tomato,23
s5,salad,はなふぶきミモザサラダ,69,11811,42283,sausage,12,potato,15,oil,17,egg,25
s6,salad,ニンジャサラダ,57,11659,41739,soy,19,leek,15,ginger,11,mushroom,12
s7,salad,ワカクササラダ,62,11393,40787,potato,9,oil,22,tomato,14,corn,17
s8,salad,クロスチョップドサラダ,56,8755,31343,sausage,15,egg,20,tomato,10,corn,11
s9,salad,ヤドンテールのペッパーサラダ,35,8169,29245,oil,15,herb,10,tail,10,
s10,salad,めいそうスイートサラダ,49,7675,27477,apple,21,honey,16,corn,12,
s11,salad,くだけるアボカドサラダ,42,7125,25508,soy,18,oil,10,avocado,14,
s12,salad,キノコのほうしサラダ,33,5859,20975,oil,8,tomato,8,mushroom,17,
s13,salad,オーバーヒートサラダ,35,5225,18706,herb,17,tomato,8,ginger,10,
s14,salad,くいしんぼうポテトサラダ,36,5040,18043,sausage,7,potato,14,apple,6,egg,9
s15,salad,ハツラツアボカドサラダ,28,4580,16396,avocado,14,tomato,8,oil,6,
